,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,class_frequency,will_change,number_of_changes,change_probability
0,0,0,2,0,0,210,0,0,1,8,0,4,0.5
1,1,0,2,0,0,2,0,0,1,8,0,0,0
2,2,21,9,0,0,33,0,18,4,8,0,2,0.25
3,3,1,7,2,0,11,0,2,2,6,0,0,0
4,4,1,2,0,0,3,0,1,1,8,0,0,0
5,5,0,1,0,0,2,0,0,1,8,0,0,0
6,6,0,2,0,0,2,0,0,1,6,0,0,0
7,7,3,6,0,0,11,0,1,1,6,0,0,0
8,8,0,7,0,0.4,16,0,0,3,2,0,0,0
9,9,1,3,0,0,4,0,1,1,6,0,0,0
10,10,2,2,0,0,2,0,0,1,6,0,0,0
11,11,7,12,0,0,9,0,11,1,6,0,0,0
12,12,10,26,0,0,21,0,17,1,6,0,0,0
13,13,5,2,0,0,5,0,0,1,6,0,0,0
14,14,5,2,0,0,5,0,0,1,6,0,0,0
15,15,13,22,0,0,22,0,13,1,6,0,0,0
16,16,5,2,0,0,5,0,0,1,6,0,0,0
17,17,6,14,0,0,12,0,6,1,6,0,0,0
18,18,9,14,0,0,14,0,9,1,6,0,0,0
19,19,7,4,0,0,7,0,1,1,6,0,0,0
20,20,6,2,0,0,5,0,0,1,6,0,0,0
21,21,7,4,0,0,7,0,1,1,6,0,0,0
22,22,5,2,0,0,5,0,0,1,6,0,0,0
23,23,6,2,7,0,3,0,1,1,6,0,0,0
24,24,21,4,7,0,14,0,25,2,6,0,0,0
25,25,20,7,7,0,19,0,11,4,6,0,0,0
26,26,7,7,7,0,11,0,1,2,6,0,0,0
27,27,28,32,7,0.3,100,0,26,9,6,0,1,0.166666667
28,28,8,3,7,0,4,0,2,1,6,0,0,0
29,29,6,2,6,0,3,12,2,1,6,0,0,0
30,30,28,24,7,0.75,89,0,30,7,6,0,1,0.166666667
31,31,24,21,7,0.11,63,0,19,8,6,0,1,0.166666667
32,32,23,15,7,0.75,50,0,21,7,6,0,0,0
33,33,29,24,7,0.73,89,0,31,9,6,0,0,0
34,34,40,32,7,0.11,128,0,34,8,6,0,0,0
35,35,36,31,7,0.36,119,0,40,10,6,0,2,0.333333333
36,36,22,14,7,0.75,45,0,19,7,6,0,0,0
37,37,3,7,0,0,69,0,10,2,6,0,1,0.166666667
38,38,1,2,0,0,2,0,2,1,6,0,0,0
39,39,0,3,0,0,12,0,0,3,6,0,0,0
40,40,0,3,0,0,7,0,0,1,6,0,0,0
41,41,4,1,0,0,16,0,4,1,6,0,0,0
42,42,3,1,0,0,16,0,3,1,6,0,0,0
43,43,2,1,0,0,14,0,2,1,6,0,0,0
44,44,4,2,0,0,30,0,4,2,6,0,0,0
45,45,2,1,0,0,24,0,4,1,6,0,0,0
46,46,2,1,0,0,14,0,2,1,6,0,0,0
47,47,5,9,0,0,66,0,12,1,6,0,0,0
48,48,3,1,0,0,53,0,10,1,6,0,0,0
49,49,3,1,0,0,30,0,5,1,6,0,0,0
50,50,3,1,0,0,27,0,5,1,6,0,1,0.166666667
51,51,3,1,0,0,30,0,5,1,6,0,0,0
52,52,2,1,0,0,14,0,2,1,6,0,0,0
53,53,8,73,0,0,278,0,46,21,6,0,0,0
54,54,9,4,0,0,21,0,11,1,6,0,0,0
55,55,17,26,0,0.54,51,0,25,12,6,0,0,0
56,56,12,12,0,0.56,39,0,15,8,6,0,0,0
