,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,will_change
0,Application.BundleConfig,0.0,0.004098360655737705,0.0,0.0,0.15339663988312638,0.0,0.0,0.017857142857142856,0
1,Application.FilterConfig,0.0,0.004098360655737705,0.0,0.0,0.0014609203798392988,0.0,0.0,0.017857142857142856,0
2,Application.MvcApplication,0.12962962962962962,0.018442622950819672,0.0,0.0,0.02410518626734843,0.0,0.04358353510895884,0.07142857142857142,0
3,Application.RmaManagerConfig,0.006172839506172839,0.014344262295081968,0.2857142857142857,0.0,0.008035062089116144,0.0,0.004842615012106538,0.03571428571428571,0
4,Application.RouteConfig,0.006172839506172839,0.004098360655737705,0.0,0.0,0.002191380569758948,0.0,0.002421307506053269,0.017857142857142856,0
5,Application.App_Start.AsposeConfig,0.0,0.0020491803278688526,0.0,0.0,0.0014609203798392988,0.0,0.0,0.017857142857142856,0
6,Application.App_Start.AuthConfig,0.0,0.004098360655737705,0.0,0.0,0.0014609203798392988,0.0,0.0,0.017857142857142856,0
7,Application.App_Start.AutoMapperConfig,0.018518518518518517,0.012295081967213115,0.0,0.0,0.008035062089116144,0.0,0.002421307506053269,0.017857142857142856,0
8,Application.App_Start.TwoLevelViewCache,0.0,0.014344262295081968,0.0,0.4,0.01168736303871439,0.0,0.0,0.05357142857142857,0
9,Application.Areas.Manager.ManagerAreaRegistration,0.006172839506172839,0.006147540983606557,0.0,0.0,0.0029218407596785976,0.0,0.002421307506053269,0.017857142857142856,0
10,Application.Areas.Manager.AutoMapper.AuditProfile,0.012345679012345678,0.004098360655737705,0.0,0.0,0.0014609203798392988,0.0,0.0,0.017857142857142856,0
11,Application.Areas.Manager.AutoMapper.DefaultTestFlowProfile,0.043209876543209874,0.02459016393442623,0.0,0.0,0.006574141709276844,0.0,0.026634382566585957,0.017857142857142856,0
12,Application.Areas.Manager.AutoMapper.ExceptionTestFlowProfile,0.06172839506172839,0.05327868852459017,0.0,0.0,0.015339663988312637,0.0,0.04116222760290557,0.017857142857142856,0
13,Application.Areas.Manager.AutoMapper.FlashDRamFailureReasonProfile,0.030864197530864196,0.004098360655737705,0.0,0.0,0.003652300949598247,0.0,0.0,0.017857142857142856,0
14,Application.Areas.Manager.AutoMapper.ProductCategoryProfile,0.030864197530864196,0.004098360655737705,0.0,0.0,0.003652300949598247,0.0,0.0,0.017857142857142856,0
15,Application.Areas.Manager.AutoMapper.RoleProfile,0.08024691358024691,0.045081967213114756,0.0,0.0,0.016070124178232288,0.0,0.031476997578692496,0.017857142857142856,0
16,Application.Areas.Manager.AutoMapper.ScrapReasonProfile,0.030864197530864196,0.004098360655737705,0.0,0.0,0.003652300949598247,0.0,0.0,0.017857142857142856,0
17,Application.Areas.Manager.AutoMapper.SegregationCriteriaProfile,0.037037037037037035,0.028688524590163935,0.0,0.0,0.008765522279035792,0.0,0.014527845036319613,0.017857142857142856,0
18,Application.Areas.Manager.AutoMapper.SmartUserProfile,0.05555555555555555,0.028688524590163935,0.0,0.0,0.010226442658875092,0.0,0.02179176755447942,0.017857142857142856,0
19,Application.Areas.Manager.AutoMapper.SystemFailureReasonProfile,0.043209876543209874,0.00819672131147541,0.0,0.0,0.005113221329437546,0.0,0.002421307506053269,0.017857142857142856,0
20,Application.Areas.Manager.AutoMapper.TesterProfile,0.037037037037037035,0.004098360655737705,0.0,0.0,0.003652300949598247,0.0,0.0,0.017857142857142856,0
21,Application.Areas.Manager.AutoMapper.TurboCatFailureReasonProfile,0.043209876543209874,0.00819672131147541,0.0,0.0,0.005113221329437546,0.0,0.002421307506053269,0.017857142857142856,0
22,Application.Areas.Manager.AutoMapper.WarrantyLostReasonProfile,0.030864197530864196,0.004098360655737705,0.0,0.0,0.003652300949598247,0.0,0.0,0.017857142857142856,0
23,Application.Areas.Manager.Controllers.AccountController,0.037037037037037035,0.004098360655737705,1.0,0.0,0.002191380569758948,0.0,0.002421307506053269,0.017857142857142856,0
24,Application.Areas.Manager.Controllers.AuditController,0.12962962962962962,0.00819672131147541,1.0,0.0,0.010226442658875092,0.0,0.06053268765133172,0.03571428571428571,0
25,Application.Areas.Manager.Controllers.DefaultTestFlowController,0.12345679012345678,0.014344262295081968,1.0,0.0,0.013878743608473338,0.0,0.026634382566585957,0.07142857142857142,0
26,Application.Areas.Manager.Controllers.ErrorController,0.043209876543209874,0.014344262295081968,1.0,0.0,0.008035062089116144,0.0,0.002421307506053269,0.03571428571428571,0
28,Application.Areas.Manager.Controllers.HomeController,0.04938271604938271,0.006147540983606557,1.0,0.0,0.0029218407596785976,0.0,0.004842615012106538,0.017857142857142856,0
29,Application.Areas.Manager.Controllers.ManagerController,0.037037037037037035,0.004098360655737705,0.8571428571428571,0.0,0.002191380569758948,0.06349206349206349,0.004842615012106538,0.017857142857142856,0
